Player,Nationality,Position,Club,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10,10,900,10.0,11,1.1,53,41,79.2,7,1,2,5,50.0,1,0,1,0,100.0
Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8,8,720,8.0,10,1.25,35,26,74.3,4,2,2,0,0.0,1,1,0,0,0.0
Ederson, BRA,GK,Manchester City,28,1993,11,11,990,11.0,4,0.36,31,27,90.3,7,4,0,7,63.6,1,1,0,0,0.0
Gregor Kobel, SUI,GK,Dortmund,24,1997,4,4,315,3.5,2,0.57,19,16,89.5,1,3,0,2,50.0,1,0,1,0,100.0
Andriy Lunin, UKR,GK,Real Madrid,23,1999,2,2,180,2.0,2,1.0,5,3,60.0,1,1,0,0,0.0,0,0,0,0,
Alexander Meyer, GER,GK,Dortmund,31,1991,5,4,405,4.5,5,1.11,17,12,76.5,2,0,2,1,25.0,1,1,0,0,0.0
Manuel Neuer, GER,GK,Bayern Munich,36,1986,3,3,270,3.0,0,0.0,9,9,100.0,3,0,0,3,100.0,0,0,0,0,
Stefan Ortega, GER,GK,Manchester City,29,1992,2,2,180,2.0,1,0.5,6,5,83.3,1,1,0,1,50.0,0,0,0,0,
Iñaki Peña, ESP,GK,Barcelona,23,1999,1,1,90,1.0,2,2.0,8,6,87.5,1,0,0,0,0.0,1,1,0,0,0.0
Yann Sommer, SUI,GK,Bayern Munich,33,1988,4,4,360,4.0,4,1.0,17,13,76.5,2,1,1,2,50.0,1,0,0,1,
Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5,5,450,5.0,10,2.0,22,12,54.5,1,1,3,0,0.0,0,0,0,0,
Sven Ulreich, GER,GK,Bayern Munich,33,1988,3,3,270,3.0,2,0.67,10,8,80.0,3,0,0,2,66.7,0,0,0,0,
