Team,Country,13/14,14/15,15/16,16/17,17/18
Arsenal,Eng,18.0,20.0,15.0,19.0,21.0
Atlético Madrid,Esp,33.0,22.0,28.0,29.0,28.0
Bayern München,Ger,27.0,28.0,29.0,22.0,29.0
Borussia Dortmund,Ger,22.0,18.0,17.0,22.0,10.0
FC Barcelona,Esp,24.0,34.0,26.0,23.0,25.0
FC København,Den,7.0,3.0,1.0,16.0,7.0
FC Porto,Por,16.0,25.0,11.0,17.0,17.0
Internazionale,Ita,,12.0,,4.0,
Lazio,Ita,10.0,,14.0,,17.0
Manchester City,Eng,19.0,15.0,26.0,18.0,22.0
Napoli,Ita,16.0,22.0,13.0,17.0,10.0
PSV Eindhoven,Ned,5.0,6.0,18.0,6.0,1.0
Paris Saint-Germain,Fra,25.0,21.0,24.0,20.0,19.0
RB Leipzig,Ger,,,,,17.0
Real Madrid,Esp,35.0,29.0,33.0,33.0,32.0
Real Sociedad,Esp,5.0,1.5,,,9.0
